YEARID	PARENTSTANDARDIDENTIFIER	IDENTIFIER	NAME	DESCRIPTION	SUBJECTAREA	CONVERSIONSCALEID	GRADESCALEITEMDCID	ISASSIGNMENTALLOWED	ISACTIVE	DISPLAYPOSITION	ISCOMMENTINCLUDED	MAXCOMMENTLENGTH	PRIMARYCOURSES	WEIGHT	ISCALCBYLOWERSTANDARD
32	ASL.D	ASL.D.1	D.1 - ASL Language, Culture, Identity, and Community	demonstrate a basic understanding of how ASL language and culture build identity and have contributed to the evolution and preservation of ASL communities	International Languages	22532	2473	1	1	241	0	4000	LASBO1		1
32	ASL.D	ASL.D.2	D.2 - Equity and Social Justice Issues	demonstrate a basic understanding of a range of historical and contemporary equity and social justice issues that have affected the ASL community and other sign language communities in Canada, and describe how the ASL community has worked towards equity and social justice objectives	International Languages	22532	2473	1	1	242	0	4000	LASBO1		1
32	S9-12	BAF	Financial Accounting Fundamentals	Financial Accounting Fundamentals	Business Studies	2205	1180	0	1	200	0	4000	BAF3M1		1
32	BAF	BAF.A	Strand: A - FUNDAMENTAL ACCOUNTING PRACTICES	FUNDAMENTAL ACCOUNTING PRACTICES	Business Studies	22532	2173	1	1	210	0	4000	BAF3M1	1	1
32	BAF.A	BAF.A.1	A.1 - Introduction to Accounting as a Discipline	describe the discipline of accounting and its importance for business;	Business Studies	22532	2473	1	1	211	0	4000	BAF3M1		1
32	BAF.A	BAF.A.2	A.2 - Business Structures	describe the differences among the various forms of business organization;	Business Studies	22532	2473	1	1	212	0	4000	BAF3M1		1
32	BAF.A	BAF.A.3	A.3 - The Accounting Cycle for a Service Business	demonstrate an understanding of the basic procedures and principles of the accountingcycle for a service business.	Business Studies	22532	2473	1	1	213	0	4000	BAF3M1		1
32	BAF	BAF.B	Strand: B - ADVANCED ACCOUNTING PRACTICES	ADVANCED ACCOUNTING PRACTICES	Business Studies	22532	2173	1	1	220	0	4000	BAF3M1	1	1
32	BAF.B	BAF.B.1	B.1 - The Accounting Cycle for a Merchandising Business	demonstrate an understanding of the procedures and principles of the accounting cycle fora merchandising business;	Business Studies	22532	2473	1	1	221	0	4000	BAF3M1		1
32	BAF.B	BAF.B.2	B.2 - Accounting for Sales Tax	demonstrate an understanding of the accounting practices for sales tax;	Business Studies	22532	2473	1	1	222	0	4000	BAF3M1		1
32	BAF.B	BAF.B.3	B.3 - Computer Applications in Accounting	apply accounting practices in a computerized environment.	Business Studies	22532	2473	1	1	223	0	4000	BAF3M1		1
32	BAF	BAF.C	Strand: C - INTERNAL CONTROL, FINANCIAL ANALYSIS, AND DECISION MAKING	INTERNAL CONTROL, FINANCIAL ANALYSIS, AND DECISION MAKING	Business Studies	22532	2173	1	1	230	0	4000	BAF3M1	1	1
32	BAF.C	BAF.C.1	C.1 - Internal Control Procedures	demonstrate an understanding of internal control procedures in the financial managementof a business;	Business Studies	22532	2473	1	1	231	0	4000	BAF3M1		1
32	BAF.C	BAF.C.2	C.2 - Financial Analysis	evaluate the financial status of a business by analysing performance measures and financialstatements;	Business Studies	22532	2473	1	1	232	0	4000	BAF3M1		1
32	BAF.C	BAF.C.3	C.3 - Decision Making	explain how accounting information is used in decision making.	Business Studies	22532	2473	1	1	233	0	4000	BAF3M1		1
32	BAF	BAF.D	Strand: D - ETHICS, IMPACTS OF TECHNOLOGY, AND CAREERS	ETHICS, IMPACTS OF TECHNOLOGY, AND CAREERS	Business Studies	22532	2173	1	1	240	0	4000	BAF3M1	1	1
32	BAF.D	BAF.D.1	D.1 - Ethics and Current Issues	assess the role of ethics in, and the impact of current issues on, the practice of accounting;	Business Studies	22532	2473	1	1	241	0	4000	BAF3M1		1
32	BAF.D	BAF.D.2	D.2 - Impact of Technology	assess the impact of technology on the accounting functions in business;	Business Studies	22532	2473	1	1	242	0	4000	BAF3M1		1
32	BAF.D	BAF.D.3	D.3 - Careers in Accounting	describe professional accounting designations and career opportunities.	Business Studies	22532	2473	1	1	243	0	4000	BAF3M1		1
32	S9-12	BAI	Accounting Essentials	Accounting Essentials	Business Studies	2205	1180	0	1	200	0	4000	BAI3E1		1
32	BAI	BAI.A	Strand: A - FUNDAMENTAL OF ACCOUNTING FOR BUSINESS	FUNDAMENTAL OF ACCOUNTING FOR BUSINESS	Business Studies	22532	2173	1	1	210	0	4000	BAI3E1	1	1
32	BAI.A	BAI.A.1	A.1 - The Nature of Accounting	describe the nature of accounting and explain its importance in managing a business	Business Studies	22532	2473	1	1	211	0	4000	BAI3E1		1
32	BAI.A	BAI.A.2	A.2 - Types of Business Ownership	analysis the different types of business ownership	Business Studies	22532	2473	1	1	212	0	4000	BAI3E1		1
32	BAI.A	BAI.A.3	A.3 - Sources of Financing	describe the differences among various sources of financing available to businesses	Business Studies	22532	2473	1	1	213	0	4000	BAI3E1		1
32	BAI	BAI.B	Strand: B - THE ACCOUNTING CYCLE	THE ACCOUNTING CYCLE	Business Studies	22532	2173	1	1	220	0	4000	BAI3E1	1	1
32	BAI.B	BAI.B.1	B.1 - The Accounts for a Service Business	describe the accounts for a service business;	Business Studies	22532	2473	1	1	221	0	4000	BAI3E1		1
32	BAI.B	BAI.B.2	B.2 - The Accounting Cycle for a Service Business	apply the appropriate procedures at each stage of the accounting cycle for a service business;	Business Studies	22532	2473	1	1	222	0	4000	BAI3E1		1
32	BAI.B	BAI.B.3	B.3 - Sales Taxes for a Service Business	apply accounting procedures for sales tax for a service business.	Business Studies	22532	2473	1	1	223	0	4000	BAI3E1		1
32	BAI	BAI.C	Strand: C - INTERNAL CONTROL, BANKING, AND COMPUTERIZED ACCOUNTING	INTERNAL CONTROL, BANKING, AND COMPUTERIZED ACCOUNTING	Business Studies	22532	2173	1	1	230	0	4000	BAI3E1	1	1
32	BAI.C	BAI.C.1	C.1 - Internal Control	demonstrate an understanding of the importance of proper internal control;	Business Studies	22532	2473	1	1	231	0	4000	BAI3E1		1
32	BAI.C	BAI.C.2	C.2 - Banking and Cash Management	apply the recording and reporting procedures for banking and cash management;	Business Studies	22532	2473	1	1	232	0	4000	BAI3E1		1
32	BAI	BAI.D	Strand: D - DECISION MAKING, ETHICS, AND CAREER	DECISION MAKING, ETHICS, AND CAREER	Business Studies	22532	2173	1	1	240	0	4000	BAI3E1	1	1
32	BAI.D	BAI.D.1	D.1 - The Use of Accounting Information to Make Decisions	describe how accounting information is used to help in decision making;	Business Studies	22532	2473	1	1	241	0	4000	BAI3E1		1
32	BAI.D	BAI.D.2	D.2 - Ethics	explain the importance of ethics in accounting and in business in general;	Business Studies	22532	2473	1	1	242	0	4000	BAI3E1		1
32	BAI.D	BAI.D.3	D.3 - Careers Opportunities	demonstrate an understanding of career opportunities in accounting.	Business Studies	22532	2473	1	1	243	0	4000	BAI3E1		1
32	S9-12	BAN	Accounting for Small Business	Accounting for Small Business	Business Studies	2205	1180	0	1	200	0	4000	BAN4E1		1
32	BAN	BAN.A	Strand: A - SERVICE AND MERCHANDISING BUSINESSES	SERVICE AND MERCHANDISING BUSINESSES	Business Studies	22532	2173	1	1	210	0	4000	BAN4E1	1	1
32	BAN.A	BAN.A.1	A.1 - The Accounting Cycle for a Service Business	demonstrate accounting skills related to the accounting cycle for a service business	Business Studies	22532	2473	1	1	211	0	4000	BAN4E1		1
32	BAN.A	BAN.A.2	A.2 - Inventory Systems	demonstrate an understanding of inventory systems;	Business Studies	22532	2473	1	1	212	0	4000	BAN4E1		1
32	BAN.A	BAN.A.3	A.3 - The Accounting Cycle for a Merchandising Business	demonstrate accounting skills related to the accounting cycle for a merchandising business.	Business Studies	22532	2473	1	1	213	0	4000	BAN4E1		1
32	BAN	BAN.B	Strand: B - ACCOUNTING PRACTICES	ACCOUNTING PRACTICES	Business Studies	22532	2173	1	1	220	0	4000	BAN4E1	1	1
32	BAN.B	BAN.B.1	B.1 - Special Journals	demonstrate an understanding of special journals;	Business Studies	22532	2473	1	1	221	0	4000	BAN4E1		1
32	BAN.B	BAN.B.2	B.2 - Accounting for Receivables	apply accounting procedures for accounts receivable;	Business Studies	22532	2473	1	1	222	0	4000	BAN4E1		1
32	BAN.B	BAN.B.3	B.3 - Accounting for Payables	apply accounting procedures for accounts payable.	Business Studies	22532	2473	1	1	223	0	4000	BAN4E1		1
32	BAN	BAN.C	Strand: C - FIXED ASSETS, PAYROLL, AND INCOME TAX	FIXED ASSETS, PAYROLL, AND INCOME TAX	Business Studies	22532	2173	1	1	230	0	4000	BAN4E1	1	1
32	BAN.C	BAN.C.1	C.1 - Fixed Assets	describe and apply accounting procedures for fixed assets;	Business Studies	22532	2473	1	1	231	0	4000	BAN4E1		1
32	BAN.C	BAN.C.2	C.2 - Payroll Practices	demonstrate an understanding of payroll practices;	Business Studies	22532	2473	1	1	232	0	4000	BAN4E1		1
32	BAN.C	BAN.C.3	C.3 - Income Tax	demonstrate an understanding of income tax procedures.	Business Studies	22532	2473	1	1	233	0	4000	BAN4E1		1
32	BAN	BAN.D	Strand: D - ETHICAL ISSUES, BUDGETS, AND BUSINESS EXPANSION	ETHICAL ISSUES, BUDGETS, AND BUSINESS EXPANSION	Business Studies	22532	2173	1	1	240	0	4000	BAN4E1	1	1
32	BAN.D	BAN.D.1	D.1 - Ethics and Issues in Accounting	identify and describe ethical challenges for, and the impact of current issues in, accounting;	Business Studies	22532	2473	1	1	241	0	4000	BAN4E1		1
32	BAN.D	BAN.D.2	D.2 - Budgeting	explain the budgeting process;	Business Studies	22532	2473	1	1	242	0	4000	BAN4E1		1
32	BAN.D	BAN.D.3	D.3 - Business Expansion	describe issues facing a growing business.	Business Studies	22532	2473	1	1	243	0	4000	BAN4E1		1
32	S9-12	BAT	Financial Accounting Principles	Financial Accounting Principles	Business Studies	2205	1180	0	1	200	0	4000	BAT4M1		1
32	BAT	BAT.A	Strand: A - THE ACCOUNTING CYCLE	THE ACCOUNTING CYCLE	Business Studies	22532	2173	1	1	210	0	4000	BAT4M1	1	1
32	BAT.A	BAT.A.1	A.1 - Accounting Principles and Practices	demonstrate an understanding of accounting principles and practices;	Business Studies	22532	2473	1	1	211	0	4000	BAT4M1		1
32	BAT.A	BAT.A.2	A.2 - Accounting Cycle in a Computerized Environment	demonstrate an understanding of the accounting cycle in a computerized environmentfor a service business and a merchandising business;	Business Studies	22532	2473	1	1	212	0	4000	BAT4M1		1
32	BAT.A	BAT.A.3	A.3 - Ethics and Issues in Accounting	demonstrate an understanding of ethics and issues in accounting.	Business Studies	22532	2473	1	1	213	0	4000	BAT4M1		1
32	BAT	BAT.B	Strand: B - ACCOUNTING PRACTICES FOR ASSETS	ACCOUNTING PRACTICES FOR ASSETS	Business Studies	22532	2173	1	1	220	0	4000	BAT4M1	1	1
32	BAT.B	BAT.B.1	B.1 - Short-Term Assets	demonstrate an understanding of accounting procedures for short-term assets;	Business Studies	22532	2473	1	1	221	0	4000	BAT4M1		1
32	BAT.B	BAT.B.2	B.2 - Inventory Procedures	analyse accounting procedures for inventories;	Business Studies	22532	2473	1	1	222	0	4000	BAT4M1		1
32	BAT.B	BAT.B.3	B.3 - Capital Assets	demonstrate an understanding of methods of accounting for capital assets.	Business Studies	22532	2473	1	1	223	0	4000	BAT4M1		1
32	BAT	BAT.C	Strand: C - PARTNERSHIPS AND CORPORATIONS	PARTNERSHIPS AND CORPORATIONS	Business Studies	22532	2173	1	1	230	0	4000	BAT4M1	1	1
32	BAT.C	BAT.C.1	C.1 - Partnerships	demonstrate an understanding of accounting in partnerships;	Business Studies	22532	2473	1	1	231	0	4000	BAT4M1		1
32	BAT.C	BAT.C.2	C.2 - Corporations	demonstrate an understanding of accounting in corporations.	Business Studies	22532	2473	1	1	232	0	4000	BAT4M1		1
32	BAT	BAT.D	Strand: D - FINANCIAL ANALYSIS AND DECISION MAKING	FINANCIAL ANALYSIS AND DECISION MAKING	Business Studies	22532	2173	1	1	240	0	4000	BAT4M1	1	1
32	BAT.D	BAT.D.1	D.1 - Methods of Financing	compare methods of financing;	Business Studies	22532	2473	1	1	241	0	4000	BAT4M1		1
32	BAT.D	BAT.D.2	D.2 - Annual Reports	explain and interpret a corporationís annual report;	Business Studies	22532	2473	1	1	242	0	4000	BAT4M1		1
32	BAT.D	BAT.D.3	D.3 - Financial Analysis for Decision Making	use financial analysis techniques to analyse accounting data for decision-making purposes.	Business Studies	22532	2473	1	1	243	0	4000	BAT4M1		1
32	S9-12	BB	Introduction to Business	Introduction to Business	Business Studies	2205	1180	0	1	200	0	4000	BBI2O1,BBI1O1		1
32	BB	BB.A	Strand: A - BUSINESS FUNDAMENTALS	BUSINESS FUNDAMENTALS	Business Studies	22532	2173	1	1	210	0	4000	BBI2O1,BBI1O1	1	1
32	BB.A	BB.A.1	A.1 - Economic Basics	demonstrate an understanding of how businesses respond to needs, wants, supply, and demand	Business Studies	22532	2473	1	1	211	0	4000	BBI2O1,BBI1O1		1
32	BB.A	BB.A.2	A.2 - Types of Businesses	compare types of businesses	Business Studies	22532	2473	1	1	212	0	4000	BBI2O1,BBI1O1		1
32	BB.A	BB.A.3	A.3 - Business Ethics and Social Responsibility	demonstrate an understanding of ethics and social responsibility in business	Business Studies	22532	2473	1	1	213	0	4000	BBI2O1,BBI1O1		1
32	BB.A	BB.A.4	A.4 - International Business	demonstrate an understanding of the benefits and challenges for Canada in the field of international business	Business Studies	22532	2473	1	1	214	0	4000	BBI2O1,BBI1O1		1
32	BB	BB.B	Strand: B - FUNCTIONS OF A BUSINESS	FUNCTIONS OF A BUSINESS	Business Studies	22532	2173	1	1	220	0	4000	BBI2O1,BBI1O1	1	1
32	BB.B	BB.B.1	B.1 - Production	explain the role of production in business	Business Studies	22532	2473	1	1	221	0	4000	BBI2O1,BBI1O1		1
32	BB.B	BB.B.2	B.2 - Human Resources	explain the role of human resources in business	Business Studies	22532	2473	1	1	222	0	4000	BBI2O1,BBI1O1		1
32	BB.B	BB.B.3	B.3 - Management	demonstrate an understanding of sound management practices in business	Business Studies	22532	2473	1	1	223	0	4000	BBI2O1,BBI1O1		1
32	BB.B	BB.B.4	B.4 - Marketing	demonstrate an understanding of the importance and role of marketing in business	Business Studies	22532	2473	1	1	224	0	4000	BBI2O1,BBI1O1		1
32	BB.B	BB.B.5	B.5 - Accounting	demonstrate an understanding of the importance and role of accounting in business	Business Studies	22532	2473	1	1	225	0	4000	BBI2O1,BBI1O1		1
32	BB.B	BB.B.6	B.6 - Information and Communication Technology	demonstrate an understanding of the importance and role of information and communication technology in business	Business Studies	22532	2473	1	1	226	0	4000	BBI2O1,BBI1O1		1
32	BB	BB.C	Strand: C - FINANCE	FINANCE	Business Studies	22532	2173	1	1	230	0	4000	BBI2O1,BBI1O1	1	1
32	BB.C	BB.C.1	C.1 - Income Management	demonstrate an understanding of income and spending issues facing individuals and businesses	Business Studies	22532	2473	1	1	231	0	4000	BBI2O1,BBI1O1		1
32	BB.C	BB.C.2	C.2 - Banking	demonstrate an understanding of how banks and other financial institutions operate	Business Studies	22532	2473	1	1	232	0	4000	BBI2O1,BBI1O1		1
32	BB.C	BB.C.3	C.3 - Investing	demonstrate an understanding of effective investment practices	Business Studies	22532	2473	1	1	233	0	4000	BBI2O1,BBI1O1		1
32	BB.C	BB.C.4	C.4 - Credit	analyse the role and importance of credit in personal and business finance	Business Studies	22532	2473	1	1	234	0	4000	BBI2O1,BBI1O1		1
32	BB	BB.D	Strand: D - ENTREPRENEURSHIP	ENTREPRENEURSHIP	Business Studies	22532	2173	1	1	240	0	4000	BBI2O1,BBI1O1	1	1
32	BB.D	BB.D.1	D.1 - Characteristics, Skills, and Contributions	describe characteristics and skills associated with successful entrepreneurs and demonstrate an understanding of the contributions to Canadian business of selected entrepreneurs	Business Studies	22532	2473	1	1	241	0	4000	BBI2O1,BBI1O1		1
32	BB.D	BB.D.2	D.2 - Invention and Innovation	analyse the importance of invention and innovation in entrepreneurship	Business Studies	22532	2473	1	1	242	0	4000	BBI2O1,BBI1O1		1
32	S9-12	BBB4E	International Business Essentials	International Business Essentials	Business Studies	2205	1180	0	1	200	0	4000	BBB4E1		1
32	BBB4E	BBB4E.A	Strand: A - CANADA IN THE GLOBAL MARKETPLACE	CANADA IN THE GLOBAL MARKETPLACE	Business Studies	22532	2173	1	1	210	1	4000	BBB4E1	1	1
32	BBB4E.A	BBB4E.A.1	A.1 - The Importance of International Business	identify the advantages, disadvantages, and challenges associated with international business activity;	Business Studies	22532	2473	1	1	211	1	4000	BBB4E1		1
32	BBB4E.A	BBB4E.A.2	A.2 - Reasons for Involvement in International Business	explain why Canadian companies have become involved in international business;	Business Studies	22532	2473	1	1	212	1	4000	BBB4E1		1
32	BBB4E.A	BBB4E.A.3	A.3 - Changes in Canada's International Business Activity	describe the evolution of Canada’s international business activities and relationships;	Business Studies	22532	2473	1	1	213	1	4000	BBB4E1		1
32	BBB4E.A	BBB4E.A.4	A.4 - The Effects of International Business on Canada	determine how Canadians have been affected by international business activity.	Business Studies	22532	2473	1	1	214	1	4000	BBB4E1		1
32	BBB4E	BBB4E.B	Strand: B - INTERNATIONAL MARKETS	INTERNATIONAL MARKETS	Business Studies	22532	2173	1	1	220	1	4000	BBB4E1	1	1
32	BBB4E.B	BBB4E.B.1	B.1 - Business Opportunities	describe the ways in which a company can explore business opportunities in international markets;	Business Studies	22532	2473	1	1	221	1	4000	BBB4E1		1
32	BBB4E.B	BBB4E.B.2	B.2 - Operational Challenges	evaluate the challenges confronting the operation of an international business;	Business Studies	22532	2473	1	1	222	1	4000	BBB4E1		1
